,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
10,The Ministry of Foreign Affairs celebrates the 61st anniversary of VictoryDay   ,"Le ministère des Affaires étrangères célèbre le 61e anniversaire de la #fêtedelaVictoire

https://t.co/7csiixBVkP https://t.co/WMkuCSmcxT",2023-03-19 17:24:00+00:00,APS_Algerie,17,1,910.0,['fêtedelaVictoire'],Positive
11,AND: First edition of the International Waste Forum in January 2024   ,"#AND: Première édition du Forum international des déchets en janvier 2024

https://t.co/geVbetjBte https://t.co/EL6B3WemXI",2023-03-19 17:14:07+00:00,APS_Algerie,7,1,841.0,['AND'],Neutral
12,"Launching the marketing process of ""Fiat"" cars in Algeria  ","إطلاق عملية تسويق سيارات ""#فيات"" في #الجزائر

https://t.co/H00Km7jYna",2023-03-19 16:59:33+00:00,APS_Algerie,11,1,917.0,"['فيات', 'الجزائر']",Neutral
13,Farming: Supplying the market with agricultural materials is the focus of the minister's meeting with the sector's professionals   ,"#فلاحة: تموين السوق بالمواد الفلاحية محور اجتماع الوزير مع مهنيي القطاع

https://t.co/1o6PxUUd8f https://t.co/2G08n2ltQ6",2023-03-19 16:58:36+00:00,APS_Algerie,13,2,933.0,['فلاحة'],Neutral
14,F tedelaVictoire: Members of the Algerian community established in France organize a rally to express their attachment to their motherland   ,"#FêtedelaVictoire: Les membres de la communauté algérienne établie en #France organisent un rassemblement pour exprimer leur attachement à leur mère patrie

https://t.co/G2IQXC1AfF https://t.co/uhAz5RbSYI",2023-03-19 16:49:19+00:00,APS_Algerie,233,57,7854.0,"['FêtedelaVictoire', 'France']",Neutral
15,"Victory_Eid: Members of the Algerian community in France organize a mass gathering, expressing their connection to the motherland ",#عيد_النصر : أعضاء الجالية الجزائرية بـ #فرنسا ينظمون تجمعا حاشدا تعبيرا عن ارتباطهم بالوطن الأم https://t.co/oGV7ZwhwZO,2023-03-19 16:47:28+00:00,APS_Algerie,653,83,17219.0,"['عيد_النصر', 'فرنسا']",Neutral
16,"The celebration of the 61st anniversary of f tedelaVictoire by the University, an affirmation of the historical symbolism of this day   ","La célébration du 61e anniversaire de la #fêtedelaVictoire par l'#Université, une affirmation de la symbolique historique de ce jour

https://t.co/GOWMPeh5Q0 https://t.co/DWi0iSPKpm",2023-03-19 16:27:16+00:00,APS_Algerie,10,0,821.0,"['fêtedelaVictoire', 'Université']",Positive
17,Belmadi: Victory against Niger is necessary to qualify for the 2023 African Cup of Nations  ,"#بلماضي: الفوز أمام النيجر ضروري لترسيم التأهل إلى نهائيات كأس إفريقيا للأمم-2023

https://t.co/YQOjytz6Tw",2023-03-19 16:25:31+00:00,APS_Algerie,10,1,782.0,['بلماضي'],Neutral
18,Ramadhan 2023: Algerian television unveils a rich and varied program schedule   ,"#Ramadhan 2023: la #télévision_algérienne dévoile une grille de programmes riche et variée

https://t.co/luWyRK2dkO https://t.co/Y48yXjpJIg",2023-03-19 16:11:31+00:00,APS_Algerie,13,1,1427.0,"['Ramadhan', 'télévision_algérienne']",Neutral
19,A rich and diversified program network of the Algerian TV Foundation during the holy month of Ramadan   ,"شبكة برامجية ثرية ومتنوعة لمؤسسة #التلفزيون_الجزائري خلال شهر #رمضان الكريم

https://t.co/4HCEbl5xF7 https://t.co/vw1GY7FIDj",2023-03-19 16:10:43+00:00,APS_Algerie,11,2,871.0,"['التلفزيون_الجزائري', 'رمضان']",Positive
20,Victory_Eid: Members of the Algerian community in France organize a mass rally to express their connection to the motherland   ,"#عيد_النصر: أعضاء الجالية الجزائرية بـ #فرنسا ينظمون تجمعا حاشدا تعبيرا عن ارتباطهم بالوطن الأم

https://t.co/OMfo2Tw9cI https://t.co/3hweWgswC6",2023-03-19 15:55:33+00:00,APS_Algerie,180,24,7030.0,"['عيد_النصر', 'فرنسا']",Neutral
21,Sonelgaz will not cut the supply of electricity and gas during the month of ramadhan   ,"#Sonelgaz ne procèdera pas à la coupure de l'alimentation en #électricité et en #gaz durant le mois de #ramadhan

https://t.co/RwBXH8CNTk https://t.co/iJt11HF79n",2023-03-19 15:51:39+00:00,APS_Algerie,7,1,893.0,"['Sonelgaz', 'électricité', 'gaz', 'ramadhan']",Neutral
22,Fiat factory in Oran: a first tranche of investment from Stellantis of 200 million euros   ,"Usine #Fiat d'#Oran: une première tranche d'investissement de Stellantis de 200 millions d'euros

https://t.co/GBKLcyHUz3 https://t.co/MAIU7EPJAr",2023-03-19 15:50:05+00:00,APS_Algerie,24,1,1240.0,"['Fiat', 'Oran']",Neutral
23,Green municipalities project: cooperation between the Ministry of the Interior and GIZ renewed   ,"Projet Communes vertes: la coopération entre le ministère de l'Intérieur et la GIZ reconduite

https://t.co/lQoXmKloMo https://t.co/pkgYyEYSH6",2023-03-19 15:46:31+00:00,APS_Algerie,9,0,953.0,,Neutral
24,The first edition of the International Forum on Waste will be held in January 2024 in the capital   ,"الطبعة الأولى للمنتدى الدولي لـ #النفايات تنظم في يناير 2024 بالعاصمة

https://t.co/HkRB7teUIu https://t.co/Fqj2pPkCW7",2023-03-19 15:42:37+00:00,APS_Algerie,9,0,757.0,['النفايات'],Neutral
25,Saydal Constantine begins producing human insulin for hospital use   ,"#صيدال قسنطينة تشرع في انتاج الانسولين البشري الموجه للاستخدام الاستشفائي

https://t.co/tzDi8UdEBw https://t.co/yJ4EGL1l3g",2023-03-19 15:41:03+00:00,APS_Algerie,44,5,1390.0,['صيدال'],Neutral
26,Sonlagaz suspends supply cuts with electricity and gas during the coming Ramadan   ,"#سونلغاز تعلق قطع التموين بـ #الكهرباء و #الغاز خلال رمضان المقبل

https://t.co/QAPOaFOC24 https://t.co/jm88nkfLAQ",2023-03-19 15:39:35+00:00,APS_Algerie,16,0,1003.0,"['سونلغاز', 'الكهرباء', 'الغاز']",Neutral
27,Sa dal Constantine launches the production of insulin for hospital use   ,"#Saïdal Constantine lance la production de l’insuline à usage hospitalier

https://t.co/SY413XJQoX https://t.co/YDy6LlSryk",2023-03-19 15:38:22+00:00,APS_Algerie,8,1,750.0,['Saïdal'],Neutral
28,Mr. Ataf receives the Deputy Director General of the International Organization for Migration   ,"السيد #عطاف يستقبل نائبة المدير العام للمنظمة الدولية للهجرة

https://t.co/qVzF1J5QOC https://t.co/z2dBvxAiSq",2023-03-19 15:23:15+00:00,APS_Algerie,37,1,1550.0,['عطاف'],Neutral
29,Mujahideen Minister chairs official VictoryDay festivities   ,"Le ministre des Moudjahidine préside les festivités officielles de la #fêtedelaVictoire

https://t.co/MTfwSnBPvE https://t.co/d0UZ8WP9b5",2023-03-19 15:22:36+00:00,APS_Algerie,14,0,965.0,['fêtedelaVictoire'],Neutral
30,The Ministry of Foreign Affairs commemorates the 61st anniversary of the Victory Day   ,"وزارة الشؤون الخارجية تحيي الذكرى ال61 لـ #عيد_النصر

https://t.co/iARiVKqFB7 https://t.co/prUmnhCYLd",2023-03-19 15:21:39+00:00,APS_Algerie,19,2,919.0,['عيد_النصر'],Positive
31,Ahmed Attaf receives Deputy Director General of IOM   ,"Ahmed Attaf reçoit la directrice générale adjointe de l'OIM

https://t.co/lXo4BF4zKY https://t.co/sVQMhJwGaL",2023-03-19 15:21:21+00:00,APS_Algerie,10,2,875.0,,Neutral
32,"Launch of the marketing of ""Fiat"" cars in Algeria   ","Lancement de la commercialisation des voitures ""#Fiat"" en #Algérie

https://t.co/BeehyNfxcf https://t.co/LJyifnX05F",2023-03-19 14:08:03+00:00,APS_Algerie,11,1,910.0,"['Fiat', 'Algérie']",Neutral
33,Green Municipalities Project: Extending the cooperation project between the Ministry of the Interior and the German Agency   for International Cooperation   ,"مشروع البلديات الخضراء: تمديد مشروع التعاون بين وزارة الداخلية والوكالة الألمانية 🇩🇪 للتعاون الدولي

https://t.co/MeBsudSGww https://t.co/3dwIxWtaSi",2023-03-19 14:06:46+00:00,APS_Algerie,15,0,803.0,,Neutral
34,"Insulin in bottles: now a ""100% Algerian medication""    ","#Insuline en flacons: désormais une ""médication 100% algérienne""

🔗https://t.co/MW05dmXuOm https://t.co/lUZnBWdk8r",2023-03-19 13:00:26+00:00,APS_Algerie,35,8,1213.0,['Insuline'],Neutral
35,"Shalf: Doors are open to the Applied School of the Reconnaissance Corps, the martyr Zanati Muhammad     ","#الشلف : أبواب مفتوحة على المدرسة التطبيقية لسلاح الاستطلاع الشهيد زناتي محمد

🔗https://t.co/1ku5B6vV0f https://t.co/u1onPgAUVs",2023-03-19 12:56:41+00:00,APS_Algerie,11,0,877.0,['الشلف'],Neutral
36,Belmadi: The doors of the national team   are always open to those who deserve it.     ,"#بلماضي : أبواب #المنتخب_الوطني 🇩🇿 دائما مفتوحة لمن يستحق""

🔗https://t.co/0StCStfr1F https://t.co/Dkce5kyZf1",2023-03-19 12:55:29+00:00,APS_Algerie,13,0,999.0,"['بلماضي', 'المنتخب_الوطني']",Positive
37,Belmadi: the doors of the selection   open to all players    ,"#Belmadi : les portes de la sélection 🇩🇿 ouvertes à tous les joueurs

🔗https://t.co/nJ2DwTSYae https://t.co/8fUi2aJzjs",2023-03-19 12:53:14+00:00,APS_Algerie,11,0,950.0,['Belmadi'],Neutral
38,Ramadhan: call to take preventive precautions to avoid certain risks    ,"#Ramadhan: appel à prendre les précautions préventives pour éviter certains risques

🔗https://t.co/J8VDMJ4ND7 https://t.co/I8rWlhYh0U",2023-03-19 12:52:04+00:00,APS_Algerie,5,0,722.0,['Ramadhan'],Neutral
39,The launch of the 17th edition of the National Campaign for Blood_Donation   at the Social Medical Center for National Security     ,"انطلاق الطبعة ال17 للحملة الوطنية لـ #التبرع_بالدم 🩸 بالمركز الطبي الاجتماعي للأمن الوطني

🔗https://t.co/f4Vmz6Skao https://t.co/ko2SRELEQb",2023-03-19 12:38:44+00:00,APS_Algerie,12,0,853.0,['التبرع_بالدم'],Neutral
40,The month of Ramadan: Civil_Protection calls for measures to be taken to prevent various accidents     ,"شهر #رمضان : #الحماية_المدنية تدعو إلى أخذ التدابير للوقاية من مختلف الحوادث

🔗https://t.co/rntgO5zGAn https://t.co/PESeWvGAZr",2023-03-19 12:36:43+00:00,APS_Algerie,11,1,801.0,"['رمضان', 'الحماية_المدنية']",Neutral
41,"special _ newsletter | Strong winds in several southern states, starting at noon today, Sunday     ","#نشرية_خاصة | هبوب رياح قوية على عدة ولايات جنوبية بداية من ظهيرة اليوم الأحد

🔗https://t.co/9oJFmJpPNW https://t.co/iRBjuIkV0Y",2023-03-19 12:35:30+00:00,APS_Algerie,10,0,763.0,['نشرية_خاصة'],Neutral
42,BMS | Strong   winds in several southern wilayas on Sunday afternoon    ,"#BMS |  Des vents 🍃 forts sur plusieurs wilayas du Sud dimanche après-midi

🔗https://t.co/rrS66kuxAj https://t.co/U7DdkJM7uV",2023-03-19 12:28:06+00:00,APS_Algerie,13,1,930.0,['BMS'],Neutral
43,Launching the marketing process of Fiat cars in Algeria       ,"إطلاق عملية تسويق سيارات #فيات في #الجزائر 🇩🇿

🔗https://t.co/prjf3nGSpe https://t.co/NO4BMOcAHV",2023-03-19 11:52:16+00:00,APS_Algerie,15,0,1191.0,"['فيات', 'الجزائر']",Neutral
44,Merad: supporting the new wilayas to achieve economic take-off    ,"#Merad : accompagner les nouvelles wilayas pour réaliser le décollage économique

🔗https://t.co/X7zOjauSIp https://t.co/m2KXAQfpQA",2023-03-19 11:42:08+00:00,APS_Algerie,16,1,927.0,['Merad'],Neutral
45,Commemorating the martyrdom of Colonels Amiroush and Si Al-Hawas: Nations remain as long as their symbols remain     ,"إحياء ذكرى استشهاد العقيدين عميروش و سي الحواس : الأمم باقية ببقاء رموزها

🔗https://t.co/usRUNZ0tgU https://t.co/StkVqWwnqE",2023-03-19 11:37:33+00:00,APS_Algerie,33,2,1044.0,,Neutral
46,Anniversary of Victory _ Day: The terrorist secret army organization turned Oran into a field for assassinations and indiscriminate killing     ,"ذكرى #عيد_النصر : منظمة الجيش السري الإرهابية حولت #وهران إلى ميدان للاغتيالات والقتل العشوائي

🔗https://t.co/cuZLsWssit https://t.co/uOS6kbdzpY",2023-03-19 11:36:34+00:00,APS_Algerie,32,5,936.0,"['عيد_النصر', 'وهران']",Negative
47,Evian _ Accords: victory for the people and subjugation to the French occupier     ,"#اتفاقيات_إيفيان: نصر للشعب وإخضاع للمحتل الفرنسي

🔗https://t.co/1WGlQ5QIe1 https://t.co/Ei6oJR9yx2",2023-03-19 11:34:50+00:00,APS_Algerie,24,2,1368.0,['اتفاقيات_إيفيان'],Neutral
48,Kaoutar: Supporting rural women to make them a key partner in development areas    ,"#Kaoutar : Soutenir la femme rurale pour en faire un partenaire clé dans les domaines de développement

🔗https://t.co/bPlXTQ4j5s https://t.co/Hd3rcM4ZEq",2023-03-19 11:26:29+00:00,APS_Algerie,16,2,862.0,['Kaoutar'],Positive
49,Accompanying the new states to enable them to achieve a development takeoff     ,"مرافقة الولايات الجديدة لتمكينها من تحقيق إقلاع تنموي

🔗https://t.co/0d7Caancay https://t.co/zb1gZWev3I",2023-03-19 10:42:52+00:00,APS_Algerie,24,0,957.0,,Neutral
50,Kreiko: Supporting rural women to be a prominent partner in the development fields     ,"#كريكو :  تدعيم المرأة الريفية لتكون شريكا بارزا في المجالات التنموية

🔗https://t.co/WkCVr45CCI https://t.co/QbXcXUfNxg",2023-03-19 10:40:30+00:00,APS_Algerie,26,1,978.0,['كريكو'],Positive
51,Gharda a: Presenting the experience of Tafilalet Palace in building to experts and researchers     ,"#غرداية : عرض تجربة قصر #تافيلالت في البناء على خبراء وباحثين

🔗https://t.co/mjhTFmWfdl https://t.co/R9BzAYOhug",2023-03-19 10:38:29+00:00,APS_Algerie,17,2,1380.0,"['غرداية', 'تافيلالت']",Neutral
52,Presentation of the experience of the Ksar of Tafilalt in terms of construction and management    ,"Présentation de l'expérience du #Ksar de #Tafilalt en matière d’aménagement de construction et de gestion

🔗https://t.co/NIvh2KzuFT https://t.co/ejEDTW8iJH",2023-03-19 10:36:57+00:00,APS_Algerie,9,0,773.0,"['Ksar', 'Tafilalt']",Neutral
53,Ligue_des_champions: JS_Kabylie beats Petro Atl tico (1-0) and qualifies for the quarter-finals   ,"#Ligue_des_champions : la #JS_Kabylie bat Petro Atlético (1-0) et se qualifie aux quarts de finale 
🔗https://t.co/xAeXY6JkJA https://t.co/ZDELeAF4eU",2023-03-18 22:32:43+00:00,APS_Algerie,14,2,1476.0,"['Ligue_des_champions', 'JS_Kabylie']",Neutral
54,AfricanChampionsLeague: JS Kabylie beat Petro Atletico (1-0) and reached the quarter-finals    ,"#رابطة_أبطال_افريقيا : #شبيبة_القبائل تفوز على بيترو أتلتيكو (1-0) وتبلغ الدور ربع النهائي 
🔗https://t.co/0EtdodAljq https://t.co/in3zZlNdJw",2023-03-18 22:29:09+00:00,APS_Algerie,13,0,1300.0,"['رابطة_أبطال_افريقيا', 'شبيبة_القبائل']",Neutral
55,Judo   Open_Africain of Algiers: thirteen medals for Algeria     ,"#Judo 🥋 #Open_Africain d'#Alger: treize médailles pour l'#Algérie 🇩🇿 
🔗https://t.co/Xz69ILaBPn https://t.co/3oZYbQGqis",2023-03-18 21:26:16+00:00,APS_Algerie,18,3,1526.0,"['Judo', 'Open_Africain', 'Alger', 'Algérie']",Neutral
56,Benbraham: civil_society invited to join society awareness efforts   ,"#Benbraham: la #société_civile invitée à adhérer aux efforts de sensibilisation de la #société 
🔗https://t.co/DrsL7TXBzs https://t.co/is9BIv4Hcx",2023-03-18 21:18:54+00:00,APS_Algerie,36,2,2047.0,"['Benbraham', 'société_civile', 'société']",Neutral
57,Gedo   The first African Open Tournament in Algeria: Algeria   dominated with 13 medals    ,"#جيدو 🥋 الدورة الإفريقية المفتوحة الاولى ب #الجزائر: سيطرة #الجزائر  🇩🇿 ب13 ميدالية 
🔗https://t.co/xlCQdLlY2A https://t.co/lArdlbvwrv",2023-03-18 21:04:41+00:00,APS_Algerie,34,1,1596.0,"['جيدو', 'الجزائر', 'الجزائر']",Neutral
58,Merad: the new wilayas have all the required services   ,"#Merad: les nouvelles #wilayas disposent de tous les services requis 
🔗https://t.co/OTkPJNCBzR https://t.co/YwoBjOis3f",2023-03-18 19:10:33+00:00,APS_Algerie,13,1,1204.0,"['Merad', 'wilayas']",Neutral
59,Signing a framework agreement between the Algerian Ministry of Culture   and its Sahrawi counterpart   to advance cultural cooperation    ,"التوقيع على اتفاقية إطار بين وزارة #الثقافة الجزائرية 🇩🇿 ونظيرتها الصحراوية 🇪🇭 لدفع #التعاون_الثقافي 
🔗https://t.co/fU5WLCkDCA https://t.co/ROtROwskPM",2023-03-18 19:09:29+00:00,APS_Algerie,82,7,4144.0,"['الثقافة', 'التعاون_الثقافي']",Neutral
60,Mines: need to anticipate the expected rise in mineral prices   ,"#Mines : nécessité d'anticiper la hausse prévue des prix des #minerais 
🔗https://t.co/BqI1sXWuMz https://t.co/XunkU0F9MV",2023-03-18 19:05:44+00:00,APS_Algerie,25,3,1534.0,"['Mines', 'minerais']",Neutral
61,Fight against terrorism: the pioneering role of Algeria   hailed   ,"Lutte contre le #terrorisme : le rôle pionnier de l'#Algérie 🇩🇿 salué 
🔗https://t.co/oaF7OdYrXF https://t.co/Ij5K267NfP",2023-03-18 19:04:25+00:00,APS_Algerie,18,0,1138.0,"['terrorisme', 'Algérie']",Neutral
62,Ben_Brahm calls on civil_society to engage in efforts to spread social_awareness    ,"#بن_براهم يدعو #المجتمع_المدني للانخراط في مساعي نشر #الوعي_المجتمعي 
🔗https://t.co/2EvlEfXpcj https://t.co/NGCGAVTOjE",2023-03-18 18:42:11+00:00,APS_Algerie,8,0,1070.0,"['بن_براهم', 'المجتمع_المدني', 'الوعي_المجتمعي']",Neutral
63,Algeria Mines Complex: Exports will increase by 110% in 2022    ,"#مجمع_مناجم_الجزائر : ارتفاع #الصادرات بنسبة 110 % سنة 2022
🔗https://t.co/4lrnzuyC64 https://t.co/DWvwUd0puU",2023-03-18 18:37:09+00:00,APS_Algerie,27,2,1285.0,"['مجمع_مناجم_الجزائر', 'الصادرات']",Neutral
64,Mascara: launch of the 6th regional Holy_Coran psalmody competition   ,"#Mascara: lancement du 6e concours régional de psalmodie du #Saint_Coran 
🔗https://t.co/2XsoYY51gz https://t.co/vFabcjdcbk",2023-03-18 18:34:12+00:00,APS_Algerie,22,1,1273.0,"['Mascara', 'Saint_Coran']",Neutral
65,Taha_Derbal takes office at the head of the Ministry of Hydraulics   ,"#Taha_Derbal prend ses fonctions à la tête du ministère de l'#Hydraulique 
🔗https://t.co/twjfwKj2a2 https://t.co/nIUlNpoCX1",2023-03-18 18:25:01+00:00,APS_Algerie,12,0,1166.0,"['Taha_Derbal', 'Hydraulique']",Neutral
66,Taha Darbal assumes his duties at the head of the Ministry of Irrigation    ,"#طه_دربال يتسلم مهامه على رأس وزارة #الري 
🔗https://t.co/P9AAQDeCgO https://t.co/hVNL4AvABP",2023-03-18 18:21:08+00:00,APS_Algerie,19,0,1252.0,"['طه_دربال', 'الري']",Neutral
67,Laaziz_Fayed takes office at the head of the Ministry of Finance   ,"#Laaziz_Fayed prend ses fonctions à la tête du ministère des #Finances 
🔗https://t.co/7U55DrwLcD https://t.co/mHtuCuMXRi",2023-03-18 18:19:30+00:00,APS_Algerie,29,4,1791.0,"['Laaziz_Fayed', 'Finances']",Neutral
68,MSP Congress: Abdelali_Hassani voted new party president   ,"Congrès du #MSP : #Abdelali_Hassani plébiscité nouveau président du parti 
🔗https://t.co/ZWDWCtm1lQ https://t.co/487Y1dHJaz",2023-03-18 18:15:04+00:00,APS_Algerie,5,0,965.0,"['MSP', 'Abdelali_Hassani']",Neutral
69,Director of the African Center for Studies and Research on Terrorism praises the pioneering role of Algeria    ,"مدير #المركز_الافريقي_للدراسات_والبحوث حول #الارهاب يشيد بالدور الريادي لـ #الجزائر 
🔗https://t.co/27g7e3a50S https://t.co/JuH31hb2dt",2023-03-18 18:11:03+00:00,APS_Algerie,12,1,1008.0,"['المركز_الافريقي_للدراسات_والبحوث', 'الارهاب', 'الجزائر']",Positive
70,"Presentation in Algiers of the comic strip ""A long way to Accords_dEvian""   ","Présentation à #Alger de la bande dessinée ""Un long chemin jusqu'aux #Accords_dEvian"" 
🔗https://t.co/94uswdq00H https://t.co/R85cbdmOcD",2023-03-18 18:04:12+00:00,APS_Algerie,10,1,1040.0,"['Alger', 'Accords_dEvian']",Neutral
71,Tayeb_Zitouni takes office at the head of the Ministry of Trade and Promotion_of_exports   ,"#Tayeb_Zitouni prend ses fonctions à la tête du ministère du #Commerce et de la #Promotion_des_exportations 
🔗https://t.co/Znoma6OlaD https://t.co/9LuXrRtwu3",2023-03-18 18:02:38+00:00,APS_Algerie,10,0,989.0,"['Tayeb_Zitouni', 'Commerce', 'Promotion_des_exportations']",Neutral
72,Mines: Manadjim_ElDjaza r exports increased by 110% in 2022   ,"#Mines : les #exportations de #Manadjim_ElDjazaïr ont augmenté de 110% en 2022
🔗https://t.co/YwiWN8uNaK https://t.co/kqhtflR7hv",2023-03-18 18:00:41+00:00,APS_Algerie,9,0,968.0,"['Mines', 'exportations', 'Manadjim_ElDjazaïr']",Neutral
73,Aziz Fayed assumes his duties at the head of the Ministry of Finance    ,"#لعزيز_فايد يتسلم مهامه على رأس وزارة #المالية 
🔗https://t.co/voi4ZAYhmV https://t.co/cBnOL1264i",2023-03-18 17:57:13+00:00,APS_Algerie,11,0,875.0,"['لعزيز_فايد', 'المالية']",Neutral
74,Abdul Ali Hassani's recommendation as new president of the Peace Society Movement    ,"تزكية عبد العالي حساني رئيسا جديدا لـ #حركة_مجتمع_السلم 
🔗https://t.co/fFUfXrGZNr https://t.co/Jns1DLGALf",2023-03-18 17:55:10+00:00,APS_Algerie,6,0,970.0,['حركة_مجتمع_السلم'],Neutral
75,The Minister of Interior confirms the readiness of the new states in the south and their availability of the necessary interests    ,"وزير #الداخلية يؤكد على جاهزية الولايات الجديدة في #الجنوب وتوفرها على المصالح الضرورية
🔗https://t.co/8j2OJm0dMr https://t.co/ye9cwc9sci",2023-03-18 17:39:33+00:00,APS_Algerie,6,0,956.0,"['الداخلية', 'الجنوب']",Neutral
76,Ministry of Fisheries and Fisheries_Productions: Bidani takes office   ,"Ministère de la #Pêche et des #Productions_halieutiques : #Bidani prend ses fonctions 
🔗https://t.co/I2iV30r64U https://t.co/TLGSI0Z3ur",2023-03-18 17:37:16+00:00,APS_Algerie,12,0,1268.0,"['Pêche', 'Productions_halieutiques', 'Bidani']",Neutral
77,Fazia Dahleb assumes her duties at the head of the Ministry of Environment and Renewable Energies    ,"#فازية_دحلب تتسلم مهامها على رأس وزارة #البيئة و #الطاقات_المتجددة 
🔗https://t.co/UM1nQ9g978 https://t.co/zyEuBOIQWM",2023-03-18 17:35:41+00:00,APS_Algerie,17,0,922.0,"['فازية_دحلب', 'البيئة', 'الطاقات_المتجددة']",Neutral
78,"Education: ""clear improvement"" in first quarter results compared to previous years   ","#Education : ""nette amélioration"" des résultats du 1e trimestre par rapport aux années précédentes
🔗https://t.co/j8JQtFI1A1 https://t.co/01LNboWlmE",2023-03-18 17:33:58+00:00,APS_Algerie,6,0,857.0,['Education'],Positive
79,Algiers: lifting of the construction freeze on land located on the heights of the areas affected by the floods in 2001   ,"#Alger : levée du gel de la construction sur les terres situées sur les hauteurs des zones touchées par les #inondations en 2001 
🔗https://t.co/XgwfKPjCsU https://t.co/zJAmRUOCle",2023-03-18 17:32:40+00:00,APS_Algerie,10,2,958.0,"['Alger', 'inondations']",Neutral
80,"The achievements of the war _ of _ liberation, cement of national memory against enemies   ","Les acquis de la #guerre_de_libération, ciment de la Mémoire nationale contre les ennemis 
🔗https://t.co/2XX20sAs7s https://t.co/dHkPGEu76H",2023-03-18 17:30:58+00:00,APS_Algerie,20,0,1129.0,['guerre_de_libération'],Neutral
81,Environment and EnR: Fazia_Dahleb takes office at the head of the ministry   ,"#Environnement et #EnR : #Fazia_Dahleb prend ses fonctions à la tête du ministère
🔗https://t.co/AiFCGBe1IY https://t.co/TvUiDII6su",2023-03-18 17:29:00+00:00,APS_Algerie,9,0,886.0,"['Environnement', 'EnR', 'Fazia_Dahleb']",Neutral
82,Youcef_Chorfa takes office at the head of the Ministry of Transport   ,"#Youcef_Chorfa prend ses fonctions à la tête du ministère des #Transports 
🔗https://t.co/wcZ4TNgizc https://t.co/Y288mdbXJT",2023-03-18 17:15:40+00:00,APS_Algerie,17,1,935.0,"['Youcef_Chorfa', 'Transports']",Neutral
